City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Grindavik,90,IS,1569278714,100,63.84,-22.43,50.0,6.93
Poum,90,MK,1569278725,93,41.28,20.71,55.4,4.7
Alice Springs,75,AU,1569278434,81,-23.7,133.88,53.6,4.7
Pevek,100,RU,1569278728,78,69.7,170.27,34.43,12.37
Sindor,92,RU,1569278729,82,62.87,51.9,31.19,6.44
Velyka Bahachka,3,UA,1569278730,68,49.79,33.72,38.03,5.97
Esperance,100,AU,1569278731,81,-33.86,121.89,48.2,19.46
Kavieng,76,PG,1569278732,66,-2.57,150.8,83.21,4.34
Axim,4,GH,1569278734,93,4.87,-2.24,75.83,8.41
Puerto Ayora,20,EC,1569278735,64,-0.74,-90.35,75.2,14.99
Quattro Castella,75,IT,1569278736,93,44.63,10.47,60.01,4.7
Port-Cartier,40,CA,1569278737,51,50.03,-66.88,60.8,9.17
Sale,32,AU,1569278738,59,-38.11,147.06,57.0,15.1
Moyale,36,ET,1569278740,68,3.52,39.05,70.97,9.08
Nemuro,78,JP,1569278741,85,43.32,145.57,60.71,12.01
Coihaique,75,CL,1569278642,66,-45.58,-72.07,53.6,4.7
Palmer,20,AU,1569278743,81,-34.85,139.16,54.0,5.82
Porto Novo,75,BR,1569278744,59,-23.68,-45.44,60.8,4.7
Road Town,40,VG,1569278533,74,18.42,-64.62,84.2,11.41
Kangaba,80,ML,1569278747,88,11.94,-8.41,72.77,3.76
Tuktoyaktuk,90,CA,1569278748,80,69.44,-133.03,39.2,4.7
Tasiilaq,100,GL,1569278749,81,65.61,-37.64,44.6,29.97
Santa Cruz de Tenerife,20,ES,1569278750,88,28.47,-16.25,73.99,10.29
Batagay-Alyta,31,RU,1569278751,63,67.8,130.41,28.49,3.96
Nanortalik,99,GL,1569278753,82,60.14,-45.24,41.45,2.53
Paranaiba,42,BR,1569278754,45,-19.68,-51.19,83.39,10.76
Alofi,75,NU,1569278695,50,-19.06,-169.92,75.2,13.87
Saint George,20,GR,1569278756,88,39.45,22.34,62.6,1.66
Lebu,100,ET,1569278757,97,8.96,38.73,55.67,2.98
Pervomayskiy,6,RU,1569278758,81,53.24,40.29,34.61,7.43
Iqaluit,75,CA,1569278513,80,63.75,-68.52,39.2,8.05
Cayenne,0,GF,1569278761,78,4.94,-52.33,82.4,6.93
Cherskiy,70,RU,1569278762,77,68.75,161.3,32.99,2.24
Vila Franca do Campo,20,PT,1569278763,83,37.72,-25.43,71.01,6.93
Angoram,100,PG,1569278764,72,-4.06,144.07,84.11,2.66
Manado,20,ID,1569278766,88,1.49,124.85,69.8,3.2
Lorengau,97,PG,1569278767,69,-2.02,147.27,84.29,5.39
Pokhara,95,NP,1569278768,92,28.21,83.99,49.73,0.27
Camacha,20,PT,1569278671,82,33.08,-16.33,69.8,3.36
Tuatapere,98,NZ,1569278770,93,-46.13,167.69,44.01,5.99
Boyolangu,97,ID,1569278772,77,-8.09,111.9,74.39,4.85
Bhadrachalam,97,IN,1569278773,92,17.67,80.89,75.65,0.38
Broken Hill,6,AU,1569278774,57,-31.97,141.45,50.0,6.93
Enshi,79,CN,1569278775,71,30.29,109.48,58.73,1.97
Port Blair,93,IN,1569278662,82,11.67,92.75,80.87,13.76
Zaysan,17,KZ,1569278777,74,47.47,84.87,52.79,2.62
Baiyin,95,CN,1569278778,100,36.55,104.13,42.8,2.24
Skibbereen,75,IE,1569278780,93,51.55,-9.27,60.8,12.75
Sunbury,75,AU,1569278781,81,-37.58,144.73,53.01,9.17
Campbell River,90,CA,1569278782,82,50.02,-125.24,55.4,20.8
Atuona,0,PF,1569278783,79,-9.8,-139.03,79.43,17.25
Haines Junction,99,CA,1569278784,61,60.75,-137.51,40.91,5.3
Zhanaozen,0,KZ,1569278786,69,43.35,52.85,53.51,6.15
Labuhan,58,ID,1569278787,61,-2.54,115.51,81.41,0.81
Rundu,0,NA,1569278788,14,-17.91,19.77,75.2,4.7
Husavik,5,CA,1569278789,56,50.56,-96.99,77.0,10.0
Aklavik,90,CA,1569278645,81,68.22,-135.01,42.8,3.36
Manokwari,82,ID,1569278791,68,-0.87,134.08,79.25,3.27
Boende,0,CD,1569278793,83,-0.28,20.88,74.57,1.43
Nikolskoye,0,RU,1569278794,60,59.7,30.79,41.0,8.95
Dwarka,40,IN,1569278795,88,28.58,77.04,77.0,4.56
Ust-Nera,34,RU,1569278796,66,64.57,143.24,31.55,7.14
Suntar,88,RU,1569278797,79,62.16,117.65,34.79,3.89
Hambantota,75,LK,1569278799,100,6.12,81.12,77.0,5.82
Nongstoin,98,IN,1569278800,96,25.52,91.27,68.09,2.84
Waipawa,95,NZ,1569278801,96,-39.94,176.59,52.61,3.4
Anadyr,20,RU,1569278802,74,64.73,177.51,35.6,13.42
Barra Patuca,0,HN,1569278803,73,15.8,-84.28,85.01,11.07
San Luis,0,AR,1569278805,24,-33.3,-66.34,69.53,12.01
Clovis,1,US,1569278806,27,36.83,-119.7,91.0,10.29
Storsteinnes,49,NO,1569278807,100,69.24,19.23,33.8,11.41
Washington DC.,75,US,1569278514,54,38.9,-77.04,89.6,6.89
Saint-Georges,99,CA,1569278809,100,46.12,-70.67,66.0,1.01
Kankan,23,GN,1569278810,90,10.38,-9.3,73.13,1.14
Cidreira,45,BR,1569278812,67,-30.17,-50.22,59.27,14.12
Arlit,0,NE,1569278813,13,18.74,7.39,90.77,12.39
Nova Olimpia,43,BR,1569278814,44,-14.8,-57.29,85.91,4.25
Kirakira,100,SB,1569278815,77,-10.46,161.92,81.59,7.78
Cabo San Lucas,40,MX,1569278630,74,22.89,-109.91,89.6,14.99
Dunedin,87,NZ,1569278818,44,-45.87,170.5,52.0,17.0
Port Elizabeth,1,US,1569278819,58,39.31,-74.98,89.6,4.7
Henties Bay,0,NA,1569278820,85,-22.12,14.28,59.0,1.99
Victoria,75,BN,1569278704,74,5.28,115.24,82.4,6.93
Inyonga,3,TZ,1569278822,40,-6.72,32.06,70.79,7.09
Codrington,40,AU,1569278673,72,-28.95,153.24,69.01,3.89
Yarada,95,IN,1569278825,85,17.65,83.27,79.25,5.21
Sioux Lookout,20,CA,1569278826,45,50.1,-91.92,68.0,6.93
Dolinsk,75,RU,1569278827,100,47.32,142.8,55.4,4.47
Sijunjung,80,ID,1569278828,94,-0.69,100.95,68.45,2.91
Komsomolskiy,100,RU,1569278793,95,67.55,63.78,33.35,13.53
Siva,0,GR,1569278830,77,35.21,25.04,70.0,6.93
Taoudenni,0,ML,1569278832,10,22.68,-3.98,93.29,5.99
Ventspils,71,LV,1569278833,68,57.39,21.56,32.0,9.17
Khatanga,100,RU,1569278834,72,71.98,102.47,37.67,10.58
Todos Santos,40,MX,1569278835,74,23.45,-110.23,84.2,14.99
Jawhar,69,IN,1569278836,95,19.91,73.23,73.49,1.05
La Ronge,75,CA,1569278807,42,55.1,-105.3,62.6,18.34
Hami,0,CN,1569278839,16,42.84,93.51,66.29,4.88
Nola,69,CF,1569278840,90,3.52,16.05,71.69,1.1
Lashio,100,MM,1569278841,85,22.93,97.75,64.49,0.98
Belaya Gora,77,RU,1569278842,47,68.54,146.19,32.45,1.97
Thompson,75,CA,1569278843,41,55.74,-97.86,75.2,12.75
Martapura,63,ID,1569278845,78,-3.41,114.85,80.51,7.23
Berdigestyakh,91,RU,1569278846,88,62.1,126.7,36.23,9.73
Broome,75,GB,1569278847,93,52.47,1.45,61.0,11.41
Constitucion,40,MX,1569278848,31,23.99,-104.67,79.0,2.24
Bathsheba,40,BB,1569278849,94,13.22,-59.52,77.0,13.96
Mogadishu,6,SO,1569278851,82,2.04,45.34,75.65,12.28
Kruisfontein,0,ZA,1569278653,82,-34.0,24.73,48.83,6.53
Ulagan,7,RU,1569278853,89,50.63,87.96,38.75,5.75
Geraldton,75,CA,1569278854,51,49.72,-86.95,60.8,8.05
Sitka,0,US,1569278855,44,37.17,-99.65,87.01,14.0
Arman,100,RU,1569278856,78,59.7,150.17,39.65,10.47
Port Lincoln,7,AU,1569278858,70,-34.72,135.86,54.41,4.83
Chokurdakh,100,RU,1569278859,68,70.62,147.9,30.83,3.02
Russell,1,US,1569278788,32,38.9,-98.86,88.0,14.99
Jinzhou,0,CN,1569278861,49,41.11,121.12,65.75,15.05
Praia,40,BR,1569278862,68,-20.25,-43.81,66.2,12.75
Mantua,90,IT,1569278864,100,45.16,10.79,60.8,4.7
Prince Rupert,90,CA,1569278865,82,54.32,-130.32,57.2,5.82
Diu,74,IN,1569278866,90,20.71,70.98,75.83,2.57
Macas,90,EC,1569278867,100,-2.3,-78.12,62.6,11.41
Yellowknife,75,CA,1569278868,75,62.45,-114.38,44.6,14.99
Monduli,14,TZ,1569278871,78,-3.3,36.45,65.03,4.56
Male,0,UA,1569278872,74,50.74,33.7,36.05,3.53
Nytva,0,RU,1569278873,97,57.94,55.33,33.8,6.71
Yeppoon,100,AU,1569278875,73,-23.13,150.74,69.8,1.12
East London,17,ZA,1569278876,82,-33.02,27.91,49.73,5.06
Sept-Iles,40,CA,1569278877,51,50.2,-66.38,60.8,9.17
Sechura,90,PE,1569278878,88,-5.56,-80.82,63.77,13.31
Seoul,20,KR,1569278778,100,37.57,126.98,55.4,1.12
Bubaque,18,GW,1569278642,75,11.28,-15.83,81.77,6.42
Hay River,90,CA,1569278882,76,60.82,-115.79,50.0,18.34
Baijiantan,80,CN,1569278883,40,45.63,85.18,66.65,3.91
Tiksi,97,RU,1569278884,91,71.64,128.87,34.79,0.87
Ancud,75,CL,1569278885,81,-41.87,-73.83,53.6,8.05
Sayhat,0,SA,1569278886,54,26.49,50.04,87.8,6.87
Khuzdar,0,PK,1569278887,47,27.8,66.62,71.51,0.29
Jackson,20,US,1569278853,40,43.48,-110.76,68.0,11.41
Necochea,0,AR,1569278890,65,-38.55,-58.74,55.99,5.99
San Jeronimo,89,PE,1569278891,90,-13.65,-73.37,51.89,4.81
Hasaki,20,JP,1569278892,83,35.73,140.83,78.01,4.7
Villa Bruzual,98,VE,1569278893,97,9.33,-69.12,68.09,1.19
Olga,1,US,1569278895,54,34.11,-118.17,84.0,5.82
Petropavlovsk-Kamchatskiy,36,RU,1569278896,81,53.05,158.65,42.8,6.71
Plettenberg Bay,0,ZA,1569278897,76,-34.05,23.37,49.91,3.98
Narsaq,97,GL,1569278898,70,60.91,-46.05,42.8,4.7
Saldanha,3,PT,1569278731,73,41.42,-6.55,58.73,2.37
Aketi,28,CD,1569278901,96,2.74,23.78,69.89,1.99
Klaksvik,100,FO,1569278902,100,62.23,-6.59,51.8,17.22
Parauna,34,ID,1569278903,61,-3.82,122.09,79.61,2.51
Bilma,0,NE,1569278904,14,18.69,12.92,86.81,8.88
Richards Bay,33,ZA,1569278905,67,-28.77,32.06,65.75,21.83
Imbituba,0,BR,1569278907,72,-28.24,-48.67,59.0,6.93
Arraial do Cabo,90,BR,1569278908,68,-22.97,-42.02,68.0,6.93
Gizo,20,IL,1569278909,69,31.8,34.94,75.0,4.7
Ostersund,94,SE,1569278910,93,63.18,14.64,43.0,6.93
Malanje,97,AO,1569278911,83,-9.54,16.35,67.91,5.55
Hilo,75,US,1569278913,62,19.71,-155.08,86.0,9.17
Katangli,100,RU,1569278914,92,51.71,143.23,43.25,21.41
Sal Rei,87,CV,1569278915,85,16.18,-22.92,79.79,12.21
Murshidabad,89,IN,1569278916,87,24.17,88.27,77.81,4.81
Mailani,0,IN,1569278917,88,28.29,80.34,73.49,2.86
Georgetown,75,GY,1569278847,74,6.8,-58.16,84.2,9.17
Mehamn,75,NO,1569278920,80,71.03,27.85,39.2,18.34
Liwale,1,TZ,1569278921,94,-9.8,37.92,61.43,9.51
Verkhnyaya Inta,100,RU,1569278922,96,65.99,60.32,32.99,17.47
Hovd,0,NO,1569278923,93,63.83,10.7,53.01,9.17
Wuzhou,0,CN,1569278925,64,23.48,111.3,69.71,1.79
Caravelas,100,BR,1569278926,70,-17.73,-39.27,71.87,22.28
Kantemirovka,0,RU,1569278927,65,49.7,39.85,38.21,2.82
Linhares,53,BR,1569278655,65,-19.38,-40.06,66.47,7.76
Kelso,75,GB,1569278929,100,55.6,-2.43,57.0,11.41
Talcahuano,0,CL,1569278930,55,-36.72,-73.12,64.4,12.75
Vila Velha,75,BR,1569278932,74,-3.71,-38.6,80.6,10.29
Gondanglegi,87,ID,1569278933,78,-7.75,112.01,75.47,6.11
Ca Mau,43,VN,1569278934,90,9.18,105.15,78.53,5.75
Beshpagir,0,RU,1569278935,93,45.02,42.37,48.2,4.47
Mar del Plata,34,AR,1569278936,52,-46.43,-67.52,57.11,16.55
Erzin,0,TR,1569278938,43,36.95,36.2,72.0,6.93
Zemio,68,CF,1569278939,96,5.02,25.13,69.35,2.73
Mitu,0,IR,1569278940,38,36.2,46.09,52.07,6.06
Marfino,0,RU,1569278941,80,56.07,37.56,39.2,8.95
Bilibino,17,RU,1569278943,66,68.06,166.44,24.89,2.91
Cam Ranh,40,VN,1569278944,74,11.92,109.15,80.6,3.36
Borovskoy,82,KZ,1569278945,84,53.8,64.15,39.11,14.5
Kysyl-Syr,48,RU,1569278946,81,63.9,122.77,35.87,3.69
Poya,49,NC,1569278947,73,-21.35,165.16,69.71,9.64
Puerto Penasco,6,MX,1569278949,84,31.32,-113.53,86.0,15.99
Markova,0,RU,1569278950,81,52.21,104.21,50.0,8.95
Alcala,0,PH,1569278951,83,15.84,120.52,79.97,4.94
Aykhal,90,RU,1569278729,59,65.95,111.51,33.8,6.71
Jiangyou,100,CN,1569278953,85,31.78,104.73,55.85,2.26
Zyryanskoye,28,RU,1569278954,87,56.83,86.62,43.43,13.47
Nishihara,20,JP,1569278956,88,35.74,139.53,82.99,4.7
Faanui,25,PF,1569278957,79,-16.48,-151.75,80.33,14.03
Nerchinskiy Zavod,34,RU,1569278958,54,51.31,119.61,45.77,0.56
Amarante,90,PT,1569278959,93,41.27,-8.08,66.99,12.75
Turayf,0,SA,1569278960,35,31.68,38.65,69.8,9.17
Yulara,90,AU,1569278962,76,-25.24,130.99,53.6,10.29
Horasan,0,TR,1569278963,44,40.04,42.16,45.05,0.4
Paamiut,100,GL,1569278964,70,61.99,-49.67,41.45,11.41
Guerrero Negro,0,MX,1569278965,73,27.97,-114.04,73.49,12.17
Havelock,1,US,1569278701,61,34.88,-76.9,79.0,9.17
Ponta do Sol,36,BR,1569278967,63,-20.63,-46.0,66.29,14.12
Great Yarmouth,75,GB,1569278969,93,52.61,1.73,61.0,11.41
Sterling,75,US,1569278938,54,39.0,-77.4,88.0,6.89
Pangnirtung,40,CA,1569278720,80,66.15,-65.72,39.2,13.87
Dickinson,1,US,1569278972,27,46.88,-102.79,78.8,17.22
Kampong Cham,65,KH,1569278973,82,11.99,105.46,75.47,8.32
San Patricio,0,PY,1569278974,69,-26.98,-56.83,64.13,6.76
Santa Isabel,20,MX,1569278976,5,32.63,-115.58,102.2,19.46
Salalah,75,OM,1569278977,78,17.01,54.1,80.6,5.82
Caiaponia,84,BR,1569278978,26,-16.96,-51.81,84.83,3.8
Murwillumbah,75,AU,1569278979,52,-28.33,153.4,73.99,16.11
Cine,0,TR,1569278980,77,37.61,28.06,59.0,2.24
Bronnoysund,87,NO,1569278982,93,65.46,12.2,43.0,4.7
Herat,0,AF,1569278983,57,34.35,62.22,58.37,4.99
Maralal,27,KE,1569278984,73,1.1,36.7,63.23,9.44
Traiguen,0,CL,1569278985,84,-38.25,-72.68,46.49,5.3
Goksun,0,TR,1569278986,42,38.02,36.5,64.4,5.82
Marzuq,18,YE,1569278988,33,14.4,46.47,72.41,2.39
Palasbari,75,IN,1569278989,100,26.14,91.55,77.0,1.12
Pervomayskoye,46,RU,1569278990,86,57.07,86.23,42.53,15.93
Makinsk,51,KZ,1569278991,78,52.63,70.42,38.57,20.58
Baruun-Urt,0,MN,1569278992,47,46.68,113.28,55.67,7.45
Santiago del Estero,0,AR,1569278993,35,-27.8,-64.26,68.81,9.46
Kiruna,20,SE,1569278995,92,67.86,20.23,26.6,2.24
Sangar,12,RU,1569278996,81,63.92,127.47,38.21,10.25
Chase,1,US,1569278997,25,38.35,-98.35,87.8,14.99
Leningradskiy,100,RU,1569278998,81,69.38,178.42,38.39,10.0
Leeton,0,AU,1569278999,57,-34.55,146.4,50.0,5.82
Nantucket,1,US,1569278915,88,41.28,-70.1,71.01,13.87
Port Hawkesbury,75,CA,1569278826,78,45.62,-61.36,73.99,11.41
Barmer,0,IN,1569279003,61,25.74,71.4,83.21,2.21
Chimore,1,BO,1569279004,50,-16.98,-65.13,76.37,4.65
Teya,75,MX,1569279005,66,21.05,-89.07,87.8,9.17
Fukue,20,JP,1569279006,73,35.03,136.69,73.4,14.99
Upernavik,100,GL,1569279007,93,72.79,-56.15,37.13,6.4
Sayyan,0,YE,1569279009,52,15.17,44.32,71.51,1.1
Porto Walter,56,BR,1569279010,89,-8.27,-72.74,73.85,3.4
Hamilton,20,CA,1569278800,64,43.26,-79.87,72.0,18.34
Naze,75,NG,1569279012,83,5.43,7.07,80.6,3.36
Avera,1,US,1569279014,31,33.19,-82.53,91.4,0.51
Izhma,99,RU,1569278992,89,65.01,53.91,34.25,7.25
Bafra,0,TR,1569279016,93,41.57,35.91,50.0,2.24
Hornepayne,43,CA,1569279017,71,49.22,-84.78,51.53,1.28
Hochstadt,0,DE,1569279018,93,50.15,8.83,57.0,3.36
Corsicana,1,US,1569279020,44,32.09,-96.46,95.0,8.05
Amapa,75,HN,1569279021,52,15.09,-87.97,93.2,18.34
Yarensk,89,RU,1569279022,96,62.17,49.09,31.19,4.9
Kijang,40,KR,1569279023,93,35.24,129.21,59.0,6.93
Yelizovo,23,RU,1569279024,81,53.19,158.38,42.8,6.71
Silver City,90,US,1569279025,36,32.77,-108.28,82.0,8.05
Portland,75,US,1569278854,65,43.66,-70.25,78.8,3.36
The Pas,90,CA,1569279028,49,53.82,-101.24,69.8,19.46
Cervo,59,BR,1569279029,76,-22.19,-46.24,58.91,4.79
Igarka,92,RU,1569279030,81,67.47,86.57,36.23,26.6
Bardsir,0,IR,1569279031,10,29.93,56.57,66.2,4.7
Thoen,93,TH,1569279032,94,17.61,99.22,69.53,2.1
Laurentides,59,CA,1569279034,96,46.43,-74.98,57.83,4.36
Ambon,90,FR,1569279035,100,47.55,-2.56,63.0,12.75
Kloulklubed,75,PW,1569279036,78,7.04,134.26,82.4,5.82
Severo-Kurilsk,100,RU,1569279037,85,50.68,156.12,50.09,18.66
Fort Nelson,40,CA,1569279038,25,58.81,-122.69,60.8,4.7
Matagami,100,NG,1569279040,95,9.67,8.4,70.07,1.83
Erenhot,0,CN,1569279041,22,43.65,111.97,64.85,6.82
Hwange,6,ZW,1569279042,15,-18.35,26.5,71.51,10.0
Quesnel,90,CA,1569278876,87,52.98,-122.49,53.6,11.41
Khandbari,99,NP,1569279044,94,27.38,87.21,53.51,1.59
Aitape,87,PG,1569279045,84,-3.15,142.36,79.97,1.61
Port Macquarie,45,AU,1569279047,47,-31.43,152.91,66.0,8.05
Kipini,20,KE,1569279048,83,-2.53,40.53,77.0,15.77
Tomatlan,26,MX,1569279049,81,19.93,-105.25,82.49,15.86
Quatre Cocos,75,MU,1569279050,83,-20.21,57.76,70.0,19.46
Novoselytsya,0,UA,1569279051,76,48.22,26.27,54.0,10.29
Tigzirt,96,DZ,1569279052,67,36.57,4.2,66.65,2.01
Souillac,0,FR,1569279054,82,45.6,-0.6,64.99,5.82
Umm Lajj,0,SA,1569279055,71,25.02,37.27,85.55,13.62
Floro,0,NO,1569279056,93,61.6,5.03,51.01,3.36
Solnechnyy,81,RU,1569279057,65,50.72,136.64,46.49,10.09
Staszow,20,PL,1569279058,87,50.56,21.17,51.01,7.0
Penon Blanco,12,MX,1569279059,46,24.79,-104.04,79.25,9.91
Martigny,0,CH,1569279061,71,46.1,7.07,55.99,5.82
Yerbogachen,44,RU,1569279062,76,61.28,108.01,39.29,12.17
Alberton,0,ZA,1569279064,36,-26.25,28.13,60.8,4.7
Bowen,100,AU,1569279065,78,-20.01,148.25,71.6,5.82
Sinnamary,68,GF,1569279066,83,5.38,-52.96,81.41,12.55
San Alejo,20,SV,1569279067,59,13.43,-87.96,91.4,3.83
Lourdes,20,SV,1569279069,83,13.73,-89.37,84.2,8.05
Padang,67,ID,1569279070,86,-0.92,100.36,78.35,11.45
Santa Quiteria,68,ES,1569279071,93,37.67,-1.69,73.0,1.66
Bara,36,NG,1569279072,87,10.41,10.6,76.01,5.79
Bandarbeyla,42,SO,1569279073,69,9.49,50.81,75.83,20.94
Carnarvon,17,ZA,1569279074,41,-30.97,22.13,46.85,14.14
Santa Cruz,26,BR,1569279076,80,-6.22,-36.02,71.51,19.73
Smirnykh,97,RU,1569279077,94,49.74,142.83,43.97,7.34
Aquiraz,75,BR,1569279078,74,-3.9,-38.39,80.6,10.29
Tual,99,ID,1569279006,86,-5.67,132.75,78.89,14.7
El Sauzal,0,AR,1569279080,31,-24.3,-64.96,75.2,5.82
Valparaiso,40,US,1569278807,49,41.47,-87.06,75.0,5.82
